name,Longitude,Latitude,Cluster
China,103.8190735,36.56176546,2
C̫te d'Ivoire,-5.5692157,7.6284262,1
Cameroon,12.73964156,5.69109849,0
Dem. Rep. Congo,23.64396107,-2.87746289,0
Congo,15.21965762,-0.83787463,0
Cook Is.,-159.7872422,-21.21927288,1
Colombia,-73.08114582,3.91383431,1
Comoros,43.68253968,-11.87783444,0
Cape Verde,-23.9598882,15.95523324,1
Costa Rica,-84.19208768,9.97634464,1
Cuba,-79.01605384,21.62289528,1
Cura̤ao,-68.97119369,12.19551675,1
Cayman Is.,-80.91213321,19.42896497,1
N. Cyprus,33.5684813,35.26277486,2
Cyprus,33.0060022,34.91667211,2
Czech Rep.,15.31240163,49.73341233,2
Germany,10.38578051,51.10698181,2
Djibouti,42.5606754,11.74871806,0
Dominica,-61.357726,15.4394702,1
Denmark,10.02800992,55.98125296,2
Dominican Rep.,-70.50568896,18.89433082,1
Algeria,2.61732301,28.15893849,2
Ecuador,-78.75201922,-1.42381612,1
Egypt,29.86190099,26.49593311,2
Eritrea,38.84617011,15.36186618,0
Spain,-3.64755047,40.24448698,2
Estonia,25.54248537,58.67192972,2
Ethiopia,39.60080098,8.62278679,0
Finland,26.2746656,64.49884603,2
Fiji,165.4519543,-17.42858032,0
Falkland Is.,-59.35238956,-51.74483954,1
France,-2.76172945,42.17344011,2
Faeroe Is.,-6.88095423,62.05385403,2
Micronesia,153.2394379,7.45246814,0
Gabon,11.7886287,-0.58660025,0
United Kingdom,-2.86563164,54.12387156,2
Georgia,43.50780252,42.16855755,2
Guernsey,-2.57239064,49.46809761,2
Ghana,-1.21676566,7.95345644,1
Guinea,-10.94066612,10.43621593,1
Gambia,-15.39601295,13.44965244,1
Guinea-Bissau,-14.94972445,12.04744948,1
Eq. Guinea,10.34137924,1.70555135,0
Greece,22.95555794,39.07469623,2
Grenada,-61.68220189,12.11725044,1
Greenland,-41.34191127,74.71051289,2
Guatemala,-90.36482009,15.69403664,1
Guam,144.7679102,13.44165626,0
Guyana,-58.98202459,4.79378034,1
Hong Kong,114.1138045,22.39827737,0
Heard I. and McDonald Is.,73.5205171,-53.08724656,0
Honduras,-86.6151661,14.82688165,1
Croatia,16.40412899,45.08047631,2
Haiti,-72.68527509,18.93502563,1
Hungary,19.39559116,47.16277506,2
Indonesia,117.2401137,-2.21505456,0
Isle of Man,-4.53873952,54.22418911,2
India,79.6119761,22.88578212,0
Indian Ocean Ter.,104.851898,-10.6478515,0
Br. Indian Ocean Ter.,72.44541229,-7.33059751,0
Ireland,-8.13793569,53.1754487,2
Iran,54.27407004,32.57503292,2
Iraq,43.74353149,33.03970582,2
Iceland,-18.57396167,64.99575386,2
Israel,35.00444693,31.46110101,2
Italy,12.07001339,42.79662641,2
Jamaica,-77.31482593,18.15694878,1
Jersey,-2.12689938,49.21837377,2
Jordan,36.77136104,31.24579091,2
Japan,138.0308956,37.59230135,2
Siachen Glacier,77.18011865,35.39236325,2
Kazakhstan,67.29149357,48.15688067,2
Kenya,37.79593973,0.59988022,0
Kyrgyzstan,74.54165513,41.46221943,2
Cambodia,104.9069433,12.72004786,0
Kiribati,-45.61110513,0.86001503,1
St. Kitts and Nevis,-62.68755265,17.2645995,1
Korea,127.8391609,36.38523983,2
Kosovo,20.87249811,42.57078707,2
Kuwait,47.58700459,29.33431262,2
Lao PDR,103.7377241,18.50217433,0
Lebanon,35.88016072,33.92306631,2
Liberia,-9.32207573,6.45278492,1
Libya,18.00866169,27.03094495,2
Saint Lucia,-60.96969923,13.89479481,1
Liechtenstein,9.53574312,47.13665835,2
Sri Lanka,80.70108238,7.61266509,0
Lesotho,28.22723131,-29.58003188,0
Lithuania,23.88719355,55.32610984,2
Luxembourg,6.07182201,49.76725361,2
Latvia,24.91235983,56.85085163,2
Macao,113.5093212,22.22311688,0
St-Martin,-63.05972851,18.08888611,1
Morocco,-8.45615795,29.83762955,2
Monaco,7.40627677,43.75274627,2
Moldova,28.45673372,47.19498804,2
Madagascar,46.70473674,-19.37189587,0
Maldives,73.45713004,3.7287092,0
Mexico,-102.5234517,23.94753724,1
Marshall Is.,170.3397612,7.00376358,0
Macedonia,21.68211346,41.59530893,2
Mali,-3.54269065,17.34581581,1
Malta,14.40523316,35.92149632,2
Myanmar,96.48843321,21.18566599,0
Montenegro,19.23883939,42.78890259,2
Mongolia,103.0529977,46.82681544,2
N. Mariana Is.,145.6196965,15.82927563,0
Mozambique,35.53367543,-17.27381643,0
Mauritania,-10.34779815,20.25736706,1
Montserrat,-62.18518546,16.73941406,1
Mauritius,57.57120551,-20.27768704,0
Malawi,34.28935599,-13.21808088,0
Malaysia,109.6976228,3.78986846,0
Namibia,17.20963567,-22.13032568,0
New Caledonia,165.6849237,-21.29991806,0
Niger,9.38545882,17.41912493,2
Norfolk Island,167.9492168,-29.0514609,0
Nigeria,8.08943895,9.59411452,1
Nicaragua,-85.0305297,12.84709429,1
Niue,-169.8699468,-19.04945708,1
Netherlands,5.28144793,52.1007899,2
Norway,15.34834656,68.75015572,2
Nepal,83.9158264,28.24891365,2
Nauru,166.9325682,-0.51912639,0
New Zealand,171.4849235,-41.81113557,0
Oman,56.09166155,20.60515333,2
Pakistan,69.33957937,29.9497515,2
Panama,-80.11915156,8.51750797,1
Pitcairn Is.,-128.317042,-24.36500535,1
Peru,-74.38242685,-9.15280381,1
Philippines,122.8839325,11.77536778,0
Palau,134.4080797,7.28742784,0
Papua New Guinea,145.2074475,-6.46416646,0
